Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Scientist,$80K-$130K (Glassdoor est.),"TACG is a driven Alaskan Native 8(a) professional consulting firm, that focuses on employee growth in collaboration with client delivery. Our portfolio ranges from support work with Health and Human Services to highly skilled Defense consulting. We have recently been awarded as one of INC.5000's fastest growing companies and received multiple best places to work awards. How can you help shape TACG?
Position Summary:

TACG is looking for a Data Scientist to support the business in defining information/data requirements to allow for the design, development, testing/evaluation, implementation and sustainment of critical business applications and IT capabilities. The Data Scientist will provide technical expertise in Business Intelligence (BI) tools and programming languages to support data analytics, data visualizations, and predictive analysis.

Responsibilities:
Applies analytic methodologies and principles to address client needs.
Applies analytic techniques in the evaluation of project objectives and contributes to the implementation of strategic direction.
Performs analyst functions including data collection, interviewing, data cleansing, data modeling, project testing, and creation of performance measurements to support project objectives.
Performs data collection, interviewing, data cleansing, data modeling, project testing, and creation of performance measurements to support project objectives.
Required Knowledge, Skills and Experience:
Excellent analytical skills
Experience using SQL, Python, and R languages for statistical analysis
Experience using Tableau Desktop, Prep Builder and Reader for the generation, sustainment and viewing of data visualization dashboards
Experience in ETL, specifically with data resident on SharePoint
3 years of experience with a Bachelor's Degree in computer science, information systems management, mathematics, operations research, statistics, or engineering; or, 1 year of experience with a Master's Degree in computer science, information systems management, mathematics, operations research, statistics, or engineering.
Education & Certification Requirements:
Four year degree or a Master's Degree in Computer Science, Business, Management or related field
Preferred Skills:
Creative thinker
Strong communication skills
Proficient in MS Office suite of tools, specifically MS Excel.
Excellent team skills.
Experience or understanding of AF or DoD processes, data and systems
Disclaimer:
The above statements are intended to describe the general nature and level of work performed by employees assigned to this classification. They are not intended to be construed as an exhaustive list of all responsibilities, duties and skills required of personnel so classified.

Work Environment:
The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions
All work will be performed in an office environment.
Physical Requirements:
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
The employee is frequently required to talk or hear. The employee is occasionally required to stand, walk; reach with hands and arms to stoop, kneel, crouch, or crawl. The employee must occasionally lift and/or move up to 25 pounds. Specific vision abilities required by the job include close vision.
Citizenship: United States
Security Clearance: NACI background will be required
Percent of Travel Required: Up to 10%
FLSA Status: Full-time, Exempt
Benefits:
We understand that our employees make us the great company we are, so we want to give back as much as possible. Whether it's our flexible wellness program that gives you the power to do what makes you happy or focusing on career development utilizing our tuition reimbursement, we're sure to have every benefit you're looking for, to also include; matching 401(k), Medical, Vision, and Dental Coverage and much more!

TACG is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.",4.6,"TACG Solutions
4.6","Dayton, OH",-1,51 to 200 Employees,2006,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1
STAFF SCIENTIST,$80K-$130K (Glassdoor est.),"Position: Staff Scientist

Requisition Number: 2020-2410-09

S&ME is an employee-owned engineering firm that provides civil, geotechnical, environmental, planning, landscape architecture, survey and construction services. Consistently ranked in the top 100 of ENR's Top 500 Design Firms, our markets are diverse and include transportation, energy, water/wastewater, commercial development, industry, healthcare, education and government. We recruit top talent and are currently seeking a Staff Scientist to join our team in Chattanooga, Tennessee.

The individual will perform field and office work associated with environment evaluations. Field work will include: soil sampling, groundwater sampling, surface water sampling, sediment sampling, wetland delineations, stream classifications, and fauna/flora identification. Other responsibilities include completing data entry to capture field activities, and the preparation of standard environmental reports. This individual will be expected to maintain knowledge of, and compliance with, regulatory requirements by attending environmental or natural resources training courses, or other in-house trainings. This position will require some travel and overnight stays.

Qualifications:
BS in environmental science, geology, biology, chemistry or related field;
2-4 years field experience in related field;
Ability to work outdoors in varying weather conditions;
Ability and willingness to accommodate overnight and out-of-town assignments;
Good technical writing, verbal communication, and computer skills.
This is a full-time position with competitive pay based on experience. Successful candidate must meet requirements of the company's Fleet Management Program, Substance Policy and Reference Check program. Submit resume, cover letter, and salary expectations for consideration. Only qualified candidates with acceptable employment eligibility verification (I-9) will be considered. Visa assistance not provided. S&ME reserves the right to fill this position with an internal or external candidate at any time during the search. S&ME is not responsible for unauthorized job postings or submissions of resumes using external links/websites.

No candidate/recruiter calls, personal calls or walk-ins accepted.

An Equal Opportunity Employer.

Minorities/Females/Disability/Veterans; VEVRAA Federal Contractor

Job Posted by ApplicantPro",3.6,"S&ME, Inc.
3.6","Chattanooga, TN",-1,1001 to 5000 Employees,1973,Company - Private,Architectural & Engineering Services,Business Services,$100 to $500 million (USD),-1
"Data Scientist, Health Economics & Advanced Analytics",$80K-$130K (Glassdoor est.),"Overview


Avalere Health is seeking a Data Scientist to join our Health Economics & Advanced Analytics (HEAA) Practice. The HEAA practice works with life sciences companies and other healthcare sectors to quantify and communicate the real-world value of healthcare interventions and to align our clients’ business strategies with the evidentiary demands of an increasingly value-driven marketplace. We are driven by deep subject matter expertise, differentiated and proprietary real-world data assets, and an emphasis on sound business strategy coupled with rigorous research and advanced analytic capabilities. The data scientist will serve at the Research Scientist II level and lead and participate in the conceptualization, execution, and delivery of analyses in health economics, comparative effectiveness, performance measure development and testing, outcomes research, and epidemiology.

Responsibilities

Principal Duties and Responsibilities:


Lend deep statistical, epidemiological, and/or econometric expertise to the development of proposals, statements of work, and study protocols/statistical analysis plans
Perform descriptive and advanced statistical analyses using large patient and/or claims databases in support of data mining, predictive modeling, and health outcomes research projects
Develop and author study reports, scientific publications, conference abstracts, and posters
Independently manage workflow and make direct contributions to the research process
Collaborate with cross-functional project teams (project leads, project managers, programmers, research assistants, etc.) to support exceptional execution for clients
Support the growth and development of junior staff focused on related areas
Qualifications

Skills, Experience, and Other Job Related Requirements:


Minimum Requirements:
MA/MS or PhD in epidemiology, data science, health economics, health policy, pharmacy administration, public health, statistics, or related discipline
5+ years of consulting, healthcare, or pharmaceutical/device industry experience
Broad technical knowledge of computational science, including applied statistics, econometrics, predictive modeling, and/or AI/machine learning theory and methods
Proficiency designing and executing observational/outcomes research studies using large administrative medical and pharmacy claims, EMR, and other data derived from various public and private databases
5+ years of experience using statistical software packages such as SAS, R, Python, and/or STATA
3+ years of SQL programming experience
Knowledge of advanced analytics, AI/machine learning theory and methods, and/or econometrics
Experience presenting research results at scientific conferences and/or a record of peer-reviewed publications
Additional Skills and Competencies:
Consulting background preferred
Excellent writing, project management, communication, and presentation skills
Ability to independently manage multiple work streams with limited supervision
Demonstrated problem solving, analytical reasoning, and decision-making skills and strong commitment to meeting goals and deadlines
Excellent teamwork skills and ability to work in a fast-paced, multi-disciplinary environment
Self-motivated with a positive, flexible attitude",3.2,"Avalere Health
3.2","Washington, DC",-1,201 to 500 Employees,2000,Company - Public,Consulting,Business Services,Less than $1 million (USD),-1
Data Scientist,$80K-$130K (Glassdoor est.),"Data Scientist

Language: English

Location: Memphis, TN

Travel: <10>

Buckman is a privately held, global specialty chemical company with headquarters in Memphis, TN, USA, committed to safeguarding the environment, maintaining safety in the workplace, and promoting sustainable development. Buckman delivers exceptional service and innovative solutions to our customers globally in the pulp and paper, leather, and water treatment sectors to help boost productivity, reduce risk, improve product quality, and provide a measurable return on investment. Buckman is in the middle of a digital transformation of its businesses and focused on building the capabilities and tools in support of this.

Position Summary
Buckman is seeking an experienced Data Scientist to lead the development of a Data Science program at our Memphis facility. You will work closely with Buckman stakeholders to derive deep industry knowledge across paper, water, leather, and performance chemical industries. You will help develop a data strategy for the company including collection of the right data, creation of the data science project portfolio, partnering with external providers, and augmenting capabilities with additional internal hires. A large part of the job is communicating and developing relationship with key stakeholders and subject matter experts to tee up proofs of concept projects to demonstrate how data science can be used to solve old problems in unique and novel ways. You will not have a large internal team to rely on, at least initially, so individual expertise, breadth of data science knowledge, and ability to partner with external companies will be essential for success. In addition to the pure data science problems, you will be working closely with a multi-disciplinary team consisting of sensor scientists, software engineers, network engineers, mechanical/electrical engineers, and chemical engineers in the development, and deployment of IoT solutions. If you like working for an entrepreneurial company with a Sustainability mission and digital ambitions at the core of its strategy, Buckman is the place for you.

Competencies Needed for Success
Bachelor’s degree in a quantitative field such as Data Science, Statistics, Applied Mathematics, Physics, Engineering, or Computer Science
5+ years of relevant working experience in an analytical role involving data extraction, analysis, and visualization
Expertise in one or more programming languages R, Python, MATLAB, JMP, Minitab, Java, C++, Scala
Key libraries such as Sklearn, XgBoost, GLMNet, Dplyr, ggplot, Rshiny
Experience and knowledge of data mining algorithms including supervised and unsupervised machine learning techniques areas such as Gradient Boosting, Decision Trees, Multivariate Regressions, Logistic regressions, Neural Network, Random Forest, Support Vector Machine, Naive Bayes, Time Series, Optimization
Microsoft IoT/data science toolkit: Azure Machine Learning, Datalake, Datalake analytics, Workbench, IoT Hub, Stream Analytics, CosmosDB, Time Series Insights, PowerBI
Data querying languages (e.g. SQL, Hadoop/Hive) and Preferred Qualifications
A demonstrated record of success with a verifiable portfolio of problems tackled
Preferred Qualifications
Master’s or PhD degree in a quantitative field such as Data Science, Statistics, Applied Mathematics, Physics, Engineering, or Computer Science
Experience in the specialty chemicals sector or similar industry
Background in engineering, especially Chemical Engineering
Experience starting up a data science program
Experience working with global stakeholders
Experience working in a start-up environment, preferably in an IoT company
Knowledge in quantitative modeling tools and statistical analysis",3.5,"Buckman
3.5","Memphis, TN",-1,1001 to 5000 Employees,1945,Company - Private,Chemical Manufacturing,Manufacturing,$500 million to $1 billion (USD),-1
Data Scientist,$80K-$130K (Glassdoor est.),"At White Ops, we are all about keeping it human. We are the global leader in bot mitigation. We protect more than 200 enterprises—including the largest internet platforms—from sophisticated bots by verifying the humanity of nearly one trillion online interactions every week. The most sophisticated bots look and act like humans when they click on ads, visit websites, fill out forms, take over accounts, and commit payment fraud. We stop them.

Founded in 2012 in a Brooklyn sci-fi bookstore, our Bot Mitigation Platform protects enterprises from the sophisticated bots that threaten them. It's an ongoing war that we fight passionately every day. Join our mission to stop bots, disrupt the economics of cyber crime, and keep it human.

The Data Science team at White Ops is building the algorithms that run behind the scenes and power our bot detection engine. We deploy state-of-the-art statistical and machine learning models at a massive scale that distinguish human activity from automated bots.

What you'll do:
Develop algorithms (i.e. rule based, statistical, machine learning) that automatically detect emerging threats
Evaluate and implement data analysis strategies to improve detection efficacy at internet-scale
Ad hoc investigations to respond to emerging threats with velocity and quality
Collaborate with product, engineering, customer success, to define and develop new product features that will delight our customers
Research for case studies and white papers on bot detection
Contribute to toolkits and platforms that scale detection analytics
Who you are:
You have a strong sense of ownership which drives you to find ways to do things better, faster, and cheaper
You look to find new and innovative ways to solve complex problems through rigorous experimentation, all by yourself
You are open, transparent and work in tight collaboration with anyone
You constantly drive for correctness and performance, in that order
You are a data scientist, analyst, engineer and have solved difficult problems to prove it
You have proficiency with SQL, Python
You have familiarity with tools, libraries and platforms such as Jupyter notebooks, Pandas, NumPy etc
Track record of independent, creative problem solving with large amounts of complex data
Knowledge of how the Internet works
Comfort with ad tech terminology
Background in data science for security is a plus
Knowledge of how web browsers work is a plus
Benefits and Perks
Unlimited vacation policy
Stock options, 401(k), and commuter benefits
Competitive salary and commission structure
Medical and dental insurance for all full-time employees
Fully paid parental leave
Professional development fund
Great coaching from senior leaders and challenging development opportunities
Life at White Ops:

Our HQ office is located in the heart of New York City. We are growing the company deliberately with a keen eye towards maintaining a culture that values diversity, lifestyle, and career growth. We are doing meaningful work and we need people to join our mighty team. We are proud of our overwhelmingly positive presence on Glassdoor and Built in NYC. We have offices located in NYC, DC, Victoria, and London.",3.8,"White Ops
3.8","New York, NY",-1,51 to 200 Employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
"Data Scientist (Palo Alto, CA or Remote US)",$80K-$130K (Glassdoor est.),"The Opportunity

Eversight is the recognized leader in AI-powered price and promotions. Eversight's proprietary cloud-based SaaS solution brings AI and continuous experimentation to consumer brands and retailers. Our software acts as a coach, enabling market leaders to transform pricing and promotion strategy for the $3.4 trillion spent in consumer goods retail using intelligent, real-time data and insights.

Reporting directly to the Head of Data Science, you will be at the center of what determines Eversight's success as a company. You will analyze the data and develop production code using the newest Data Science and Machine Learning techniques to determine the optimal prices and promotions for major product manufacturers and retailers that sell these products.

Responsibilities
Research, implement and modify modern Data Science techniques. More specifically:
Build Statistical and Machine Learning models that describe the impact of prices and promotions on shopper behavior, including behavioral pricing effects. You'll need to find middle ground between using flexible modern AI methods and proven classical methods.
Develop Optimization and Experiment Design systems, which determine the best prices to set for each product in each store each week. Finding a good balance on the exploration-exploitation tradeoff will be important.
Design and run pricing experiments across hundreds of stores and tens of thousands of products
Create model validation methods to make sure that our models are accurate and to quantify the impact of our solutions on the clients' bottom line
Work with Product Management to generate ideas and quickly turn them into efficient, well-tested, functioning code (we mostly use Python)
Partner with the Engineering team to create highly scalable solutions
Serve as Data Science expert both within Eversight and for our clients
Lead custom analyses and connect them to actionable Business and Product insights
Help prioritize new feature development by assessing potential impact
Be a go-to resource for science-related questions about the product
Behavioral Profile
Analytical, framework thinker
Comfortable in a fast-paced environment
Highly collaborative
Strong at translating Data Science concepts to non-technical audiences
Business focused; measures work in its contributions to business outcomes and prioritizes effort against deliverables accordingly
Skills and Experience
2+ years of relevant experience in Data Science and/or Machine Learning with direct impact on business value
B.S., M.S., or PhD in Statistics, Mathematics, Operations Research, Machine Learning, Engineering, Economics, Computer Science or relevant quantitative field
Ability to write efficient code in Python
Extremely strong in math and statistics: Linear Algebra, Hypothesis Testing, Bayesian Methods, Regressions, Calculus, Maximum Likelihood Estimation
Experience in Machine Learning methods: Neural Networks (Deep Learning, Embeddings, Sequence Modeling, CNN), Tree-based methods (GBDT, Random Forest), Regressions (Linear, GLM), Regularization Methods (L1/L2 penalties, Feature Selection, Dimensionality Reduction)
Experience in A/B testing and Design of Experiments preferred
Agile experience preferred
Demand Modeling, Pricing, and Causal Inference experience preferred but optional


Location

Palo Alto, CA

About the Company

Eversight is the recognized leader in AI-powered pricing and promotions. Global brands and retailers rely on the Eversight platform to optimize pricing in response to market conditions and to deliver higher ROI on promotional spend. Eversight's Pricing Suite and Offer Innovation Suite solutions are driving strong margin and sales volume improvements for leading companies such as Coca-Cola, General Mills, Raley's, and Rite Aid. Founded in 2013, Eversight is headquartered in Palo Alto, California, with offices in Chicago and New York.",4.2,"Eversight
4.2",Remote,-1,51 to 200 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),-1
Data Scientist,$80K-$130K (Glassdoor est.),"Data Scientist
In this role, you will be set on a constant “treasure hunt” for new data sources to apply the latest techniques for modeling and data analysis. You will be part of a team driving the profit and customer growth of this growing insurance agency.
Essential Functions and Responsibilities
Working with internal and external data to understand and accurately predict:
Shopping behavior;
Retention behavior;
Quote and conversion rates;
Retention and lifetime customer value;
Contribution to overall margin;
Customer satisfaction; and
Other drivers of success you identify worthy of analysis.
Qualifications and Education
Knowledge of new and innovative modeling and statistical techniques – a relevant specialty is preferred.
Detail orientation – attention and desire to work on large data “crunching” projects.
Strong written and oral communication skills and a proven ability to communicate technical concepts to both technical and non-technical audiences.
Creative thinker with the ability to synthesize information from various sources and apply that information to concrete business problems.
Ability to work with and understanding of the merits of various data structures.
Proficiency with the latest modeling software and techniques, such as SAS, R, Python or Tableau.
Ability to understand the need to balance predictive power, interpretability, and ease of implementation.

Education:
An advanced degree in mathematics, machine learning, economics, statistics or a related field.
About the Company
The Plymouth Rock Company and its affiliated group of companies write and manage over $1.4 billion in personal and commercial auto and homeowner’s insurance throughout the Northeast and mid-Atlantic, where we have built an unparalleled reputation for service. We continuously invest in technology, our employees thrive in our empowering environment, and our customers are among the most loyal in the industry. The Plymouth Rock group of companies employs more than 1,800 people and is headquartered in Boston, Massachusetts. Plymouth Rock Assurance Corporation holds an A.M. Best rating of “A-/Excellent”.",3.5,"Plymouth Rock Assurance
3.5","Boston, MA",-1,1001 to 5000 Employees,1982,Company - Private,Insurance Carriers,Insurance,$10 to $25 million (USD),-1
Data Scientist,$80K-$134K (Glassdoor est.),"Company Description

MMIT is growing from the leading drug coverage data business into a comprehensive, integrated market access company serving pharmaceutical manufacturers, health insurers, PBMs and healthcare IT companies. Their suite of applications is designed to manage an ever-changing proprietary set of pharmacy and medical benefit information and to provide a structured view of complex market access information. By embedding their data and SaaS applications across healthcare, they help ensure transparency, consistency and informed prescription decisions across the MMIT Network. They partner with hundreds of payers and pharma manufacturers ensuring that their products continually capture and analyze coverage and restriction criteria for more than 98% covered lives.

Team Overview

The MMIT Product Management Team is charged with developing, growing and maintaining the MMIT product portfolio that smooth access to lifechanging therapies. This entails managing products through all phases of the product lifecycle, from concept to sunset. The product management team embraces a market-backed perspective, champions unmet client needs, and is committed to a highly accountable and collaborative Product Management approach.

Job Description

MMIT is seeking experienced Data Scientists to meaningful contributes to the growth and development of the MMIT product portfolio. Ideal candidates are comfortable working with large, complex data sets to help inform, simplify and actualize key product capabilities. They will have comfort collaborating with various stakeholders and navigating ambiguity with limited direction. They will dedicate themselves to understanding the MMIT product portfolio (both current capabilities and future product roadmaps) and key data dependencies to inform data models, architecture, and new product development.

To succeed in this role, you will apply your skillset to

· Inform, create and/or maintain master data hierarchy, attributes and structure.

· Bridge claims data and coverage data – Refine existing rules and create and continually improve new methods for accurately assigning pharmacy and medical claims volumes to MMIT controller entities

· Apply data science to the creation of short and long form geographic market and controller entity descriptive narratives (NLP / NLG)

· Translate product management strategy into actionable data science deliverables, guiding development of data models, business rules and other advanced analytical capabilities

· Excel at communicating across a broad set of cross-functional stakeholders.

· Work collaboratively with MMIT product and data teams to develop and/or commercialize analytics use cases that may include market access, coverage / lives, and RWE data

· Effectively partner with external organizations including clients and vendors to develop meaning and projectable analytics about trends in market access dynamics across payers, geographies, indications, drugs, etc.

· Identify and evaluate additional data sources that could be integrated in value enhancing ways.

· Build reports, dashboards and/or other analyses as needed and/or as specific initiatives arise.

· Support various commercial or commercialization efforts as needed.

· Take a leading role in developing data science as a discipline across product management, development and data operations.

Qualifications

Relevant Skills and Experiences

· Postgraduate degree or higher involving machine learning, statistics, or computer science

· Experience of statistical / machine learning projects in academia or commercial sector end to end with proven delivery capability including capturing requirements, designing analysis plans, interfacing with clients and report / manuscript writing

· Experience in applying Natural Language Processing and related AI capabilities.

· Experience working with large and complex healthcare datasets, preferably patient-level longitudinal data and experience with studies of treatment effectiveness/outcomes, disease progression, adherence, healthcare utilization, patient journey, sales targeting, prescription/procedure volumes/shares, provider networks and prescribing/treatment patterns, etc

· Strong related programming skills including experience with good coding practices and a thorough understanding of the data science package landscape. Familiarity with Tableau and PowerBI a plus.

· Familiarity with agile software development practices

· Excellent written and spoken communication skills, including ability to present technical concepts to lay audiences, write analysis plans for projects, contribute to proposals / grant applications, pitch ideas effectively and persuasively to clients / internal stakeholders, etc.

· Demonstrated ability to work both collaboratively to solve complex problems and individually to research/advance areas of interest and exploration

· Proven ability to develop meaningful/valuable analytic insights from multiple data sources and support value through commercialization

Preferred candidates may also have

· Experience supporting or launching Data and Analytics or SaaS-based enterprise product

· Experience in managed markets and pharma market access ecosystem

· Experience in the commercial health insurance industry

· Knowledge of payer marketing, drug development lifecycle and drug launch process

Additional Information

All your information will be kept confidential according to EEO guidelines.

Position will be based in Livingston NJ or Yardley PA

(highly qualified remote applicants will be considered)

Travel Requirements:

Approximately <10>",3.8,"MMIT
3.8","Yardley, PA",-1,201 to 500 Employees,1994,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1
Data Scientist- Workforce Planning & Analytics (Remote),$80K-$134K (Glassdoor est.),"We Are Hiring

Data Scientist

Workforce Planning and Analytics

Full-Time, Days

Remote / Virtual

Do you have experience with statistical programs? Our team wants to speak with you! We are seeking a Data Scientist to join our Workforce Planning & Analytics team. You will support deep dive data analysis, communicate trends to leadership, and identify issues relating to systems and processes for organizational support.

Why Join Ascension?
Ascension is a faith-based healthcare organization dedicated to transformation through innovation across the continuum of care. As one of the leading non-profit and Catholic health systems in the U.S., Ascension is committed to delivering compassionate, personalized care to all, with special attention to persons living in poverty and those most vulnerable. In FY2019, Ascension provided $2 billion in care of persons living in poverty and other community benefit programs.

Ascension includes more than 150,000 associates and 40,000 aligned providers. The national health system operates more than 2,600 sites of care – including 150 hospitals and more than 50 senior living facilities – in 20 states and the District of Columbia, while providing a variety of services including clinical and network services, venture capital investing, investment management, biomedical engineering, facilities management, risk management, and contracting through Ascension’s own group purchasing organization.

What You Will Do

As a Data Scientist with Ascension, you will have the opportunity to develop predictive and prescriptive analytics models, creating efficient algorithms, and innovating use of data.

Responsibilities:
Integrates data from multiple sources and supports/performs complex statistical data analysis including multivariate statistical analysis, multilevel modeling, dyadic analysis and/or coarsened exact matching analysis.
Analyzes complex business and competitive issues and discerns the implications for systems support.
Identifies, defines, directs and performs project issue analysis to resolve issues, including analysis of technical and economic feasibility of proposed data solution.
Communicates highly technical information to numerous audiences, including senior management, the user community, and less experienced staff.
Presents data to drive business decisions.
Proposes and leads projects required to support the development of the organization's data infrastructure needs.
What You Will Need

Education:
High school diploma/GED with 2 years of experience, or Associate's degree, or Bachelor's degree required.
Advanced degree preferred.
Work Experience:
1-3 years of Data Science experience preferred.
Experience with Python and R strongly preferred.
Equal Employment Opportunity
Ascension is an EEO/AA employer: M/F/Disabled/Vet. For further information regarding your EEO rights, click on the following link to the “EEO is the Law” poster:
http://www1.eeoc.gov/employers/upload/eeoc_self_print_poster.pdf”
Please note that Ascension will make an offer of employment only to individuals who have applied for a position using our official application. Be on alert for possible fraudulent offers of employment. Ascension will not solicit money or banking information from applicants.

E-Verify Statement

This employer participates in the Electronic Employment Verification Program. Please click the E-Verify links below for more information.

eVerify

Right to Work",3.3,"Ascension
3.3",United States,-1,10000+ Employees,1999,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),-1
Data Scientist BSLEF8,$80K-$134K (Glassdoor est.),"E3/Sentinel’s Homeland Security Enterprise (HSE) division is an integrated organizational entity fostering increased collaboration and synergies across the Homeland domain. HSE combines the skills and talents of over 245 (and growing) E3S employees and subcontractor staff supporting multiple components across DHS, including but not limited to: U.S. Customs and Border Protection (CBP), Transportation Security Administration (TSA), U.S. Immigration and Customs Enforcement (ICE), Federal Emergency Management Agency (FEMA), U.S. Coast Guard (USCG), Science and Technology Directorate (S&T), Countering Weapons of Mass Destruction Office (CWMD), Federal Protective Services (FPS), and the DHS Headquarters Management Directorate. Our team provides rapid, innovative and specialized solutions that enable our HSE clients to success at meeting dynamic mission objectives.

Each day U.S. Customs and Border Protection (CBP) oversees the massive flow of people, capital, and products that enter and depart the United States via air, land, sea, and cyberspace. The volume and complexity of both physical and virtual border crossings require the application of “big data” solutions to promote efficient trade and travel. Further, effective “big data” solutions help CBP ensure the movement of people, capital, and products is legal, safe, and secure.
In response to this challenge, E3/Sentinel, as a trusted mission partner of CBP, seeks capable, qualified, and versatile data scientists to help lead the development and delivery of high-quality predictive modelling solutions. Successful applicants will serve as recognized subject matter experts in the application of quantitative methods, machine learning algorithms, and predictive models to address complex national and homeland security challenges. They will help our team to leverage large structured and unstructured datasets to develop and operationalize models, tools, and applications that drive optimized decision making. Project tasks include data collection, mining, data and text analytics, clustering analysis, pattern recognition and extraction, automated classification and categorization, and entity resolution to implement and enhance automated risk assessment. The products we develop provide actionable insight with real and immediate impact on the safety and security of the United States, its citizens, visitors, and economy.

Lead and perform hands-on analysis and modeling involving the creation of intervention hypotheses and experiments, assessment of data needs and available sources, determination of optimal analytical approaches, performance of exploratory data analysis, and feature generation (e.g., identification, derivation, aggregation).
Collaborate with mission stakeholders to define, frame, and scope mission challenges where big data interventions may offer important mitigations and develop robust project plans with key milestones, detailed deliverables, robust work tracking protocols, and risk mitigation strategies.
Demonstrate proficiency in extracting, cleaning, and transforming CBP transactional and mission data associated within an identified problem space to build predictive models as well as develop appropriate supporting documentation.
Leverage expert knowledge of a variety of statistical and machine learning techniques and methods to define and develop programming algorithms; train, evaluate, and deploy predictive analytics models that directly inform mission decisions.
Execute projects including those intended to identify patterns and/or anomalies in large datasets; perform automated text/data classification and categorization as well as entity recognition, resolution and extraction; and named entity matching.
Brief project management, technical design, and outcomes to both technical and non-technical audiences including senior government stakeholders throughout the model development/ project lifecycle through written as well as in-person reporting.

Bachelor’s Degree (required), Master’s or Ph.D. degree (preferred) in operations research, industrial engineering, mathematics, statistics, computer science/engineering, or other related technical fields with equivalent practical experience
Significant experience in developing machine learning models and applying advanced analytics solutions to solve complex business problems.
Proficiency with statistical software packages: SAS, SPSS Modeler, R, WEKA, or equivalent.
Experience with programming languages: R, Python, Scala, Java, SQL, or equivalent.
Experience constructing and executing queries to extract data in support of EDA and model development.
Experience with unsupervised and supervised machine learning techniques and methods.
Experience working with large-scale (e.g., terabyte and petabyte) unstructured and structured data sets and databases.
Experience performing data mining, analysis, and training set construction.
Completed CBP Background Investigation clearance (active or re-instate-able)

Experience with big data technologies (e.g., Hadoop, HIVE, HDFS, HBase, MapReduce, Spark, Kafka, Sqoop).
Proficiency with Unsupervised Machine Learning methods including Cluster Analysis (e.g., K-means, K-nearest Neighbor, Hierarchical, Deep Belief Networks, Principal Component Analysis), Segmentation, etc.
Proficiency with Supervised Machine Learning methods including Decision Trees, Support Vector Machines, Logistic Regression, Random/Rotation Forests, Categorization/Classification, Neural Nets, Bayesian Networks, etc.
Experience with pattern recognition and extraction, automated classification, categorization, and entity resolution (e.g., record linking, named-entity matching, deduplication/ disambiguation).
Experience working in a team and deploying solutions in an iterative or agile/DevOps continuous integration and delivery environment using lifecycle management methods and tools.
Experience with visualization tools and techniques (e.g., Periscope, Business Objects, D3, ggplot, Tableau, SAS Visual Analytics, PowerBI).

E3/Sentinel is an equal opportunity employer and Vietnam Era Veterans Readjustment Assistance Act (VEVRAA) federal contractor. All qualified applicants receive consideration for employment without regard to race, color, religion, gender, national origin, age, sexual orientation, gender identity, protected veteran status, or status as a qualified individual with a disability. E3/Sentinel hires and promotes individuals solely on the basis of their qualifications for the job to be filled.",4.4,"E3 Federal Solutions
4.4","Alexandria, VA",-1,501 to 1000 Employees,2004,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1
